

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: 47.35360948515227; player life: 0; enemy life: 40.0; time: 770

RUN: run status: enemy: 5; fitness: 38.393349813801784; player life: 0; enemy life: 50.0; time: 740

RUN: run status: enemy: 5; fitness: 74.36012416617346; player life: 0; enemy life: 10.0; time: 765

RUN: run status: enemy: 5; fitness: 86.11460763199207; player life: 27.400000000000254; enemy life: 0; time: 754

RUN: run status: enemy: 5; fitness: 74.13224472101788; player life: 0.40000000000023406; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 65.10837410294775; player life: 0; enemy life: 20.0; time: 984

RUN: run status: enemy: 5; fitness: 29.252244721017888; player life: 1.6000000000002341; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: 75.81224472101789; player life: 17.20000000000023; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 47.25829930534795; player life: 0; enemy life: 40.0; time: 847

RUN: run status: enemy: 5; fitness: 74.14459120139007; player life: 0; enemy life: 10.0; time: 949

RUN: run status: enemy: 5; fitness: 47.26303304199814; player life: 0; enemy life: 40.0; time: 843

RUN: run status: enemy: 5; fitness: 65.15838452352241; player life: 0; enemy life: 20.0; time: 936

RUN: run status: enemy: 5; fitness: 83.55224472101789; player life: 4.600000000000234; enemy life: 0; time: 1000

RUN: run status: enemy: 5; fitness: 83.81128792835834; player life: 6.400000000000233; enemy life: 0; time: 924

RUN: run status: enemy: 5; fitness: 87.28818173229013; player life: 37.00000000000028; enemy life: 0; time: 609

RUN: run status: enemy: 5; fitness: 47.4124499851752; player life: 0; enemy life: 40.0; time: 726

RUN: run status: enemy: 5; fitness: 85.31058116173779; player life: 18.400000000000233; enemy life: 0; time: 685

RUN: run status: enemy: 5; fitness: 56.372244721017886; player life: 2.8000000000002343; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: 56.36668156671962; player life: 0; enemy life: 30.0; time: 760

RUN: run status: enemy: 5; fitness: 47.1648154138527; player life: 0; enemy life: 40.0; time: 930

RUN: run status: enemy: 5; fitness: 74.1403850963458; player life: 0; enemy life: 10.0; time: 953

RUN: run status: enemy: 5; fitness: 85.62631983303937; player life: 22.00000000000024; enemy life: 0; time: 716

RUN: run status: enemy: 5; fitness: 86.71914532120982; player life: 34.00000000000027; enemy life: 0; time: 797

RUN: run status: enemy: 5; fitness: 84.2773167177616; player life: 11.20000000000023; enemy life: 0; time: 937

